"","B365H","B365D","B365A"
"869",3.8,3.4,2
"870",2,3.4,3.8
"871",3.3,3.4,2.2
"872",1.5,4.2,6.5
"873",2,3.5,3.75
"874",7,4.5,1.44
"875",2.63,3.25,2.75
"876",2.1,3.3,3.6
"877",6.5,4.2,1.5
"878",2.2,3.25,3.4
"879",2.63,3.25,2.75
"880",2,3.4,3.8
"881",5.5,3.6,1.67
"882",4.75,3.5,1.8
"883",4,3.25,2
"884",1.83,3.5,4.5
"885",6,3.75,1.62
"886",2.2,3.25,3.4
"887",2.4,3.4,2.88
"888",1.91,3.5,4
"889",1.53,4,6.5
"890",3.4,3.5,2.1
"891",1.36,4.75,9
"892",1.57,4,6
"893",1.3,5,12
"894",1.36,4.75,9
"895",2.6,3.4,2.7
"896",1.33,5,10
"897",1.53,3.8,7
"898",1.25,5.5,13
"899",1.22,6,15
"900",1.44,4.33,7.5
"901",2.88,3.4,2.4
"902",1.4,4.5,8.5
"903",1.4,4.5,8.5
"904",1.29,5.5,11
"905",1.36,5,8
"906",1.4,4.5,8.5
"907",2,3.3,4
"908",4,3.3,2
"909",2,3.4,3.8
"910",4,3.6,1.91
"911",1.67,3.8,5.25
"912",7,4.5,1.44
"913",2.6,3.25,2.75
"914",2,3.4,3.8
"915",2.1,3.3,3.6
"916",2.4,3.25,3
"917",4.2,3.4,1.91
"918",2.3,3.4,3.1
"919",1.91,3.6,4
"920",2.1,3.4,3.5
"921",2.1,3.4,3.5
"922",5,4,1.67
"923",2.3,3.3,3.2
"924",2.88,3.25,2.5
"925",2.5,3.25,2.88
"926",6,4,1.57
"927",9,4.75,1.36
"928",7,4,1.5
"929",2.63,3.25,2.75
"930",9,4.33,1.4
"931",3.5,3.4,2.1
"932",2.75,3.25,2.63
"933",2.5,3.25,2.88
"934",2.75,3.3,2.6
"935",2.63,3.25,2.75
"936",9,4.75,1.36
"937",2.8,3.4,2.5
"938",1.57,4,6
"939",2.5,3.25,2.88
"940",2,3.4,3.8
"941",1.91,3.3,4.33
"942",2.4,3.3,3
"943",2.5,3.25,2.88
"944",2,3.5,3.75
"945",6,4,1.57
"946",2.5,3.25,2.88
"947",5,3.8,1.7
"948",2.5,3.25,2.88
"949",2.38,3.3,3
"950",9,5,1.33
"951",2.3,3.4,3.1
"952",7,4.5,1.44
"953",12,6.5,1.22
"954",5,3.75,1.7
"955",1.36,5,8.5
"956",1.53,4.2,6
"957",1.91,3.75,3.8
"958",1.44,4.5,7
"959",1.5,4.33,6.5
"960",1.44,4.5,7
"961",2.63,3.5,2.8
"962",1.44,4.75,8
"963",2.4,3.5,3.1
"964",1.44,4.5,9
"965",1.33,5.5,11
"966",1.25,6.5,15
"967",1.25,6.5,14
"968",1.75,3.9,5
"969",2.25,3.6,3.3
"970",1.4,5.5,8
"971",2,3.5,3.75
"972",7,4.5,1.44
"973",4.75,3.75,1.73
"974",1.95,3.4,4
"975",2.4,3.2,3.1
"976",3.75,3.5,2
"977",2.4,3.25,3
"978",2.55,3.5,2.9
"979",2.9,3.4,2.6
"980",2.63,3.4,2.88
"981",7.5,4.5,1.44
"982",2.3,3.4,3.4
"983",5,4,1.75
"984",2.3,3.3,3.5
"985",2.3,3.4,3.4
"986",4.5,3.8,1.85
"987",1.22,6.5,12
"988",2.4,3.4,2.9
"989",1.95,3.5,4
"990",2.5,3.5,2.7
"991",1.44,4.5,7
"992",1.33,5.5,8.5
"993",1.2,6.5,15
"994",1.25,6.5,15
"995",1.91,3.6,4
"996",1.36,5.5,9.5
"997",1.4,5,9
"998",1.4,5,9
"999",1.36,5,11
"1000",1.36,5.5,9
"1001",1.95,3.75,4
"1002",1.7,4,5.5
"1003",2.6,3.3,2.75
